timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,-3.08528582381651e-10,0.0700000003768029,0.0500000000496775,0.0700000007966694,-0.055000001055636,0.0500000009382998,-0.0700000018162797,-0.0550000029943613,0.0500000001052212,0.999999995320288,-2.80476705835224e-11,-1.43301689938314e-10,-6.27052070887525e-09,-3.33214370097365e-09,4.78751529313426e-10,0.0520000000234281,1.61275915259412e-08,4.15162651368823e-10,1.47215691873603e-09,-1.2563398563297e-08,-8.26985950650075e-09,1.46509101356525e-09,-1.23067749440856e-08,7.80037651510081e-09,1.57099190606754e-09,-1.40310899050633e-11,-8.81531536630468e-11,-2.77280424572732e-09,-3.68053100867958e-08,2.40402168105051e-09,4.53125617560484e-10,-0.318443432293845,-0.012826201551621,0.21828068514546,0.306296748707595,0.111820198876322,0.216956872686382,0.293708095871008,-0.102366505202111,0.213538681581944,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25431352797574,0,1.69032429768259,0,0,0,1.54462419635081,0,1.31439782570378,0.91419858700573,0,1.20450925376642,0,0,0,0.286718343539539,0.562734731244807,0.61266107063285,0.236792004151496,0,0.467111772935764,0.141061671613736,0.330502917904878,0.724914227749648,1.18004852267664,0.844654296519591,1.0603084539067,0.174578486315625,0,0.195910030208352,0,0.521600225557091,0.257329200463596,0.235216789821404,0,0.0228815155906516,0,0,0.0932106093513592,0,0.153848912857141,0.439451481843364,0.132517368964411
1,0.00104655965983346,0.0689439604401029,0.0495356894953899,0.07133161817113,-0.0564557794513331,0.0495356927441106,-0.0687397427849888,-0.0541595007680103,0.0496334134774572,0.999999995521789,1.19564666789034e-11,-7.64814993471576e-11,-6.00239612211418e-09,-1.91502808693957e-09,1.40226464887063e-10,0.0519974438873473,0.0750000199296661,-0.0750000003638142,-0.0462000448206878,0.0749999889562448,-0.0750000113368273,-0.0461997866133834,0.0749999891960896,0.0750000110350892,-0.0364762682767458,3.29473827379723e-12,-4.99044180129366e-11,-2.73721486257349e-09,-2.14985531009025e-08,-1.53412730407287e-09,-2.9050267438947e-05,-0.373510307752422,0.0267155435374428,0.250000006880648,0.241149676827147,0.176299714144355,0.248791627447528,0.277232401304835,-0.164558021744655,0.237328595874028,0,0,1.35906026285469,0,0,0,0,0,0,0,0,0,0,1.25456900869555,0,1.71270450639026,0,0,0,1.57009133011253,0,1.33153738565368,0,0,1.21859278591789,0,0,0,0.231683387077252,0.502082859995009,0,0.173785878512575,0.0650341038988173,0.562556557502414,0.218254241090221,0.409336420311009,0.701027882215645,1.18184404400547,0.832574965351669,1.05029696086944,0.157051997366925,0,0.180765268627449,0,0.524772387107871,0.235574144077175,0.221128324633914,0,0.0171848215383684,0,0.407703961849255,0.0710791762975106,0,0.1351555035645,0.448067017855719,0.111442232303977
2,-0.000105738327293826,0.0671991096062607,0.0484947792688668,0.0731333049330405,-0.0581866404165868,0.0485192830185423,-0.0669082779018896,-0.0525649807862052,0.0488103727300363,0.999999996488896,1.34696200601871e-11,-1.82049803915651e-10,-6.20328366645553e-09,-4.26427470009087e-09,1.83824675514699e-10,0.0519974249037595,-0.074999987304731,-0.074999999964557,-0.0499999999943387,0.0749999869793638,-0.0750000109496782,-0.0499999998015042,0.0749999872078543,0.0750000116884219,-0.0457812727626087,3.62904239179844e-13,-8.78084686194153e-11,-2.71906116623034e-09,-3.64344383036591e-08,2.63724300036252e-10,-4.20578013849139e-07,-0.255433948099976,0.0217748052260332,0.250000002371026,0.23762740517965,0.176615446829615,0.250000081779264,0.346274001883263,-0.169963580011442,0.247161941789917,0,0,1.4309427243388,0,0,0,0,0,0,0,0,0,0,1.26231615743208,0,1.68538369422355,0,0,0,1.55002579621339,0,1.33483964817904,0,0,1.20087431654511,0,0,0,0.18944416632373,0.459882418722976,0,0.129553995742227,0.178760011193972,0.698523606500986,0.341575711186891,0.535707906508062,0.698147098325634,1.17690085038125,0.827449590856397,1.04759835785048,0.154554297461607,0,0.179266447067828,0,0.531705844934613,0.226884230139888,0.218686069507331,0,0.0243634409749823,0,0.421134210962347,0.0668882969551715,0,0.131020069000892,0.460553833401861,0.106307919394685
3,-0.00187246546021787,0.0654944862388393,0.0474529435602631,0.0748971821678853,-0.0598759394129148,0.0475069807055216,-0.065040894512251,-0.0510040663198487,0.0479503309541526,0.999999999990981,3.85419605145628e-14,2.91755116793851e-15,-1.101862156939e-11,3.30583866450323e-13,1.98518156293913e-13,0.0519974248771371,-0.0749999999515721,-0.0749999999996032,-0.0499999999999754,0.0749999999814092,-0.0750000000296104,-0.0500000000000604,0.0749999999885759,0.0750000000277245,-0.0402505693297871,3.29207173509487e-15,3.89656423047352e-14,-5.41282596961025e-12,1.16279221178495e-11,-8.43358466191624e-13,-1.03112798808611e-09,-0.258906223266022,0.0186267821072464,0.250000000010162,0.218163926792867,0.192780927671455,0.249999999975153,0.399999995291914,-0.199323734329417,0.247747715490087,0,0,1.45125750467349,0,0,0,0,0,0,0,0,0,0,1.27453295969155,0,1.66400953285261,0,0,0,1.53469120569489,0,1.35612892577064,0,0,1.1717051193334,0,0,0,0.144338364757708,0.413607087203375,0,0.0787468374193464,0.283740985570158,0.832458956541562,0.459906841241973,0.656293100869749,0.694717534417336,1.158179405822,0.818574319105681,1.03432262113366,0.149208233841271,0,0.176542061428207,0,0.534543692943555,0.21288882182917,0.209500532399681,0,0.0213067245348909,0,0.435587446015209,0.0592649197269575,0,0.119557218285367,0.468545916986684,0.0922233906984365
4,-0.00363290808629384,0.0637781062661643,0.0464157521431542,0.0766388795814658,-0.061556105311189,0.0465005089580235,-0.063125365821376,-0.0494677793017492,0.0472268757411231,0.999999999982151,3.87782443108106e-13,-7.20253832649982e-13,-3.98132240895602e-11,-1.67561730877157e-11,-7.44013531803756e-12,0.0519974248765893,-0.0749999999158524,-0.0750000000013139,-0.04999999999979,0.0749999999116846,-0.0750000001326695,-0.0499999999999372,0.0749999999517754,0.0750000001374841,-0.0321355272920357,1.07053970813108e-13,-1.24527508826783e-13,-1.87469562820327e-11,-5.72180077495437e-11,-3.46284164948914e-11,-1.10420627281247e-10,-0.126997089231268,-0.00464516163677924,0.250000000086609,0.185455103403879,0.214682012409062,0.250000000025902,0.399999980125725,-0.240218878895455,0.249999999746048,0,0,1.31873408511568,0,0,0,0,0,0,0,0,0,0,1.2778526059456,0,1.57607204437032,0,0,0,1.46790674957992,0,1.36912055743825,0,0,1.10654754584436,0,0,0,0.191467917278641,0.47336717036388,0,0.10089693719989,0.396639748034797,0.938895740792507,0.565385549120498,0.7701499397068,0.770616607869074,1.00527599430231,1.11649632049594,0.659396281675451,0.168059308634571,0,0.187423330311773,0,0.57251461212679,0.227537241384456,0.237102100509934,0,0.0484717480436725,0,0.451973026012844,0.0682676119161103,0,0.137310403791473,0.501651796211003,0.117946382114272
5,-0.00532416166991252,0.06206004390279,0.0453931717913035,0.0783542785745792,-0.0631975738862054,0.0455203929206062,-0.0612054145725287,-0.0479801211508468,0.0467066636745921,0.999999999392508,-4.72785934634713e-12,-3.9663165642149e-11,-4.68968266923364e-10,-2.02824172127818e-10,-6.61725039725467e-11,0.0519974248699449,-0.0749999983905077,-0.0749999999063071,-0.0499999999965244,0.0749999989103639,-0.0750000014512207,-0.0480214804942538,0.0749999992384412,0.0737717272406726,-0.0199466194745551,3.65385018161169e-13,-3.66477102131048e-12,-3.05486649314775e-10,-1.03897155799207e-09,-4.47076153487745e-10,-8.76394292275511e-11,-0.169817266577699,-0.0393476816244821,0.250000001432481,0.188163516950909,0.209119845222183,0.250000003609145,0.399999686146305,-0.261503686858986,0.242512287421943,0,0,1.34154222289978,0,0,0,0,0,0,0,0,0,0,1.31072725022476,0,1.56834873426143,0,0,0,1.45128483789701,0,1.42110832538994,0,0,1.12667802442295,0,0,0,0.132151859336204,0.421821620282296,0,0,0.406679562704496,0.987625368752865,0.591081378216127,0.803223553241238,0.684105812622456,0.919165893320512,1.03626464722931,0.56700705871365,0.178142781355903,0,0.199113788186823,0,0.590474898520225,0.232109257742415,0.249537274302126,0,0.0491802795392326,0,0.471452511227175,0.0711448567875222,0,0.14253934973375,0.521875997342483,0.12156834290283
6,-0.00708553740760631,0.0601801756634557,0.0443484327351083,0.0801389324232102,-0.0649213027086168,0.0445208877560127,-0.059586889049776,-0.0466614249968939,0.0463343585136723,0.999998601312829,-2.4323684747e-06,7.99471230910041e-06,0.00168316614568019,0.000252342668445998,9.02467596043364e-05,0.0519976892637408,-0.0749999917956744,-0.0749999988115361,-0.0500000000027093,0.0749999907414141,-0.0750000094608586,-0.0499999999154813,0.0749999915083126,0.0372242998740462,-0.0111623469542156,-0.0074277991310712,-0.00466630002284616,0.5497004642051,0.0459038317933002,0.0162131664160777,-0.000265569066768315,-0.159036786036837,-0.06615299858605,0.249999998882703,0.0924567463827413,0.208841931752356,0.250000034825656,0.351710852971375,-0.194219210212503,0.239331872772796,0,1.39396029662081,0,0,0,0,0,0,0,0,0,0,0,1.30726220526559,0,1.68077223493195,0,0,0,1.51648822385231,0,1.44668133903691,0,0,1.17075956563985,0,0,0,0,0,0.0314170587305143,0.332894385400787,0.447473056031845,1.09061047593525,0.657139539744472,0.880943992222626,0.512610513028327,0.987163025123407,0.626775078334136,0.872998459817602,0.188793974698235,0,0.217217087513417,0,0.610300727286111,0.245484294009423,0.270840998200004,0,0.0708387390452349,0,0.499786088934021,0.0781232385114991,0,0.160170437307135,0.5534099996206,0.122316717219361
7,-0.00873442981396036,0.0591945071360725,0.0435760438791115,0.0817593819082107,-0.0665588558581489,0.0435755778122687,-0.0578192518476432,-0.0462578332654702,0.0461472827737552,0.999939881379432,4.50137006981791e-06,5.90172811956501e-06,0.0109869120010214,0.00118511317681717,-0.000599397585252927,0.0519975153936609,-0.0749999918096769,-0.0719753506430855,-0.0350531426928965,0.0749999940181292,-0.0750000117699192,-0.044558225776082,0.0749999946826728,0.00974835594974914,-0.00928132993845401,-0.00885994456527017,-0.00613021507876105,1.05073408765537,0.0465266356927178,-0.0593190159787149,0.00047434611187362,-0.150828479250314,0.0363622227120228,0.24999993203616,0.00799650674129259,0.278806740766669,0.249999667430919,0.305516523426504,-0.0998379262587473,0.231309914794914,0,1.32270164362086,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60619229375904,0,0,0,1.5171697221063,0,1.60229387481134,0,0,1.18344161152523,0,0,0,0,0,0.0741198248790811,0.371357568925732,0.543511616801257,1.17455348851303,0.754803870972975,0.963261234341308,0.44459993087738,0.93938832620392,0.603521925370731,0.780466331710563,0.237444288115776,0.601896266253946,0.261098819819883,0,0.578244139515932,0.201700087003565,0.24459188912385,0,0.0780756350816103,0,0.485419777028987,0.0615669475522663,0,0.0687149102492735,0.468912846332952,0
8,-0.0104530437243461,0.0578837357195824,0.0429378743062467,0.0833075753406022,-0.0678906535382911,0.0428125606698579,-0.0560045253651764,-0.0458232068934449,0.0457955915979284,0.999780440143042,2.23214035260641e-06,4.97857989934522e-06,0.0209773675563953,0.00218532053229488,-0.00163715307348426,0.0519973660005945,-0.0749999914259717,-0.0622585055531414,-0.0296157344440973,0.0749999963399472,-0.0582635141406702,-0.0318072342111438,0.0749999967063595,0.031758153751409,-0.0248420441947152,-0.000475655000723217,-0.0126946168312349,1.00220175580083,0.0528227509280316,-0.0463187586781245,-5.95355471303044e-05,-0.149890562951288,0.0153564513574836,0.249999954620066,-0.0390409728589984,0.302483412054419,0.249999738276987,0.264125332043738,-0.112619709363873,0.240775554325271,0,1.35198120774865,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64535853143881,0,0,0,1.51225928048617,0,1.64568888443452,0,0,1.18249836006251,0,1.0483023958126,0,0,0,0.0708536693628244,0.365046174152105,0.629787674791812,1.26911787422648,0.846437853208618,1.05246769580967,0.394433817653777,0.873603826832293,0.542342970295188,0.725694674190881,0.245105504872471,0.606314939132363,0.264243415762466,0,0.571133036317834,0.204542355284551,0.24740413648107,0,0.0668458472054939,0,0.482635030685127,0.0777688294052003,0,0.0800678777132912,0,0
9,-0.0122418104644825,0.056410091876221,0.0422993424784754,0.0829504577304082,-0.0686785740744736,0.0419627092152559,-0.054170897017671,-0.0447678745643577,0.044950365627692,0.99949834671068,3.58442538962433e-06,3.55676463952415e-06,0.0316955532295706,0.00327252871220799,-0.00272223667571513,0.0519973517500208,-0.0749999913921172,-0.0750000027390522,-0.0348429695085236,-0.075000005527164,-0.0207163482179839,-0.0500000015722009,0.0749999964592882,0.0734182382559676,-0.050000000204557,0.00184529023778749,-0.0128657587908503,1.12871837462803,0.0579697054675128,-0.0566672987756038,-6.9554862065122e-05,-0.141241918157364,0.017687929376781,0.249999840318112,-0.0281417391447754,0.364169997335185,0.24999935217959,0.245488358070466,-0.134662511940704,0.249999915720478,0,1.3349820300668,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6240815662702,0,0,0,1.45866664993336,0,1.69628635777271,0,0,1.15041754311538,0,1.11612281874096,0,0,0,0.0779718003758626,0.365716552188413,0.652617144450922,1.29079046370605,0.862907736689413,1.08049987146757,0.327497688376849,0.794347940942929,0.465223505927737,0.656622123392032,0.245988341970802,0.597358746977479,0.254684231373824,0,0.55593185584742,0.1938633327048,0.236163624682597,0,0.051180159147027,0,0.474023833592101,0.0945638057160273,0,0.0847394424643922,0,0
