timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,-2.84730820857117e-09,0.0700000057063619,0.0499999992751853,0.0700000102720517,-0.0550000217525634,0.0499999978108648,-0.0700000110184398,-0.0550000220465345,0.0499999989943013,0.999999999460232,-2.01214110498856e-09,7.28258619824946e-10,-3.19425875659857e-12,1.37603643084774e-09,-3.87131265729064e-09,0.0519999994190822,-2.07385798595743e-12,5.18001788270453e-09,-1.286416055298e-10,-4.10800659576524e-10,8.8932082317418e-11,-7.52719919969007e-10,9.21497971758554e-10,2.80221074949248e-10,-2.48455894503143e-10,5.61756355201213e-11,4.81736358530729e-12,1.07445469084775e-11,2.08386413126671e-09,-1.28237836500384e-09,-6.04104349365964e-10,-0.0292924233650946,-0.127857027697601,0.157982042735011,0.15125522877248,-0.122597586116142,0.19046481108795,0.117744131311181,0.105242086667111,0.176227969081618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421837735080247,0.485236752847347,0.609338077327322,0.297736410600271,0.388237003763009,0.675396109555649,0.513033654001339,0.550599459317317,0.368208992381463,0.675833089986723,0.509116028333758,0.534926054034425,0.0264854170049446,0.249998887878617,0,0.514831697951186,0.228305889816861,0.0158259185561123,0,0.487233809682551,0,0.342152207011445,0.144174676528099,0.0563462633365137,0.309096571049606,0,0.1279984282728,0.0160523465811456
1,-0.00145950670511414,0.0694463308378358,0.0505406920595477,0.07019988809919,-0.0538783151381912,0.0505406910464395,-0.0698308887329254,-0.056123360306137,0.0505406916012895,1.00000000011184,-2.89280119312769e-09,1.04929476920805e-10,-1.10480924546264e-10,1.4878839487754e-09,-2.75075190191186e-09,0.0519974434987438,-0.0750000000179102,-0.055092002962105,0.0500000000281246,0.019888257663618,0.0750000000485533,0.0499999998688466,0.0168282472876487,-0.0749999997523278,0.0499999999286225,2.58876947534054e-11,7.73606791465149e-12,-1.0676777188798e-10,2.9163518397613e-09,2.90362205569604e-09,-2.90504885157886e-05,0.0279529867930411,-0.244413344338045,0.150000016724345,0.241612188447149,-0.210085377513289,0.160424481514629,0.118670542673476,0.162950060491289,0.169334637139658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409658736993561,0.459856121849898,0.585332328770249,0.284182530073218,0.365055986191447,0.64740230923667,0.488256001761166,0.524202293666952,0.355419256018082,0.654647322890386,0.489760436762743,0.520306142145718,0.0224084233916629,0.238504865792152,0,0.507497753584003,0.22624293181966,0.017069936964817,0,0.484050069649199,0,0.348597037580252,0.146993990747704,0.0604949144051458,0.188198071660688,0,0.138193780548036,0.0276730482702133
2,-0.00313918629097397,0.0689512643329277,0.0515835960284396,0.0711776588437464,-0.0523383950296632,0.0515843796169768,-0.0708163358326704,-0.0577118634195803,0.0515698854719559,0.999999996660591,-1.93113465490885e-09,1.22407020049977e-09,-3.24624862663773e-09,1.01490366340554e-08,5.98654529711525e-09,0.0519974248710821,-0.074999915829891,0.00528347659157676,0.0499999998948671,0.0750000016434008,0.0749999988443417,0.0500000004675994,-0.0750000035708085,-0.0749999963262359,0.0500000002580115,-7.07090631643084e-11,3.59330831129722e-11,-3.8582856775726e-09,5.00553962836909e-08,3.00332489576412e-08,-4.20589878157208e-07,0.0312517148969177,-0.318893503200771,0.149999937482887,0.178760906277326,-0.197097772223012,0.150000279248714,0.191304437913141,0.159280206041813,0.158958509763369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395347882019599,0.444848999505726,0.570133988630046,0.270062892895283,0.384771535434615,0.658638192813008,0.499861241093034,0.543548487154582,0.396959481851968,0.686967113208759,0.521166390722669,0.562760204338064,0.021938368636774,0.231463375682676,0,0.504186266293493,0.226564349948333,0.0199560737971901,0,0.487144084726501,0,0.34803861040867,0.144314556747956,0.0666649333628379,0.19447680382477,0,0.140873896460994,0.0447078581772265
3,-0.00480609038771607,0.0690075319911045,0.0526237776129543,0.072806340121582,-0.0508143072743888,0.0526145781976915,-0.0725611291792358,-0.0593720491367098,0.0525880975339661,0.999999999234473,-2.2126019086533e-09,2.1597423323523e-10,-2.34925080375252e-10,1.22568518890227e-09,2.6995399738796e-09,0.0519974247890218,-0.0749999980786192,0.00036780064881431,0.0499999999167144,0.0750000034794224,0.0749999996270971,0.049999999635659,-0.0750000028437383,-0.0749999995304603,0.0500000002617666,-4.77733021909694e-11,-1.32093342193212e-11,6.09515794528355e-10,-6.73253723772998e-09,1.97782348625743e-08,-1.06325024944172e-09,0.04905533661355,-0.3625724552331,0.149999950467053,0.165484957527634,-0.186734963785067,0.149999783342713,0.176254150348658,0.115133218469869,0.15000015565955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410609011210614,0.459204271246365,0.588996690553812,0.280816591903169,0.452631486336944,0.710297354062401,0.559766839046958,0.603162001352391,0.505183167591232,0.767154790619928,0.61250942204661,0.659828536164553,0.0259046126881519,0.223356763507598,0,0.499216451165824,0.226135169218733,0.0190010949037613,0,0.485314504478644,0,0.337889868505874,0.138976719249559,0.070355910171448,0.195616758925396,0,0.136914163212932,0.0536747886433602
4,-0.00646755199110975,0.0687570564905755,0.0536515951121593,0.0745117146424542,-0.0492880581775153,0.0536342155370066,-0.0744271093981618,-0.0610870154127551,0.0535920336336187,0.999999999282553,1.80046125328947e-09,7.86998284873034e-10,1.14900437539744e-10,1.17576246736423e-09,-8.63955655498624e-10,0.0519974240769455,-0.0749999989407029,-0.025286492169163,0.0499999999999211,0.0750000013096756,0.0750000031729153,0.0499999994854647,-0.0750000018239352,-0.0750000009412343,0.0500000001039247,-1.09712441992843e-11,-6.71225999425409e-12,-6.19986909733262e-11,6.05714098140325e-10,-2.10325922461377e-09,6.58831579259075e-11,0.0146969383458044,0.0131778103293831,0.149999999952673,0.229451780200728,-0.103368123043842,0.191957504663671,0.190171610642768,0.145463881944437,0.150000061799977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300459727071283,0,0,0,0,0.41651472632535,0.462499826968859,0.595210591628617,0.283803961665592,0.680046827190768,0.609582142221016,0.527294569989741,0.762334399422046,0.595781785969741,0.88146770154213,0.711485916062766,0.765763571449103,0.0429663717920038,0.225779207096735,0,0.501323897950066,0.213072739707516,0.00315482357074216,0,0.475919268721604,0,0.203919160370554,0.164865499895046,0,0.191212692981338,0,0.138606492089815,0.0450664872412647
5,-0.00806821431344423,0.0671800342686267,0.0546805014231257,0.0763699583885471,-0.0478915082517243,0.0541699100635544,-0.0762206566780217,-0.0627780109231321,0.0543993842355046,0.999999999956946,2.29056905290381e-10,-6.57238688136639e-10,-5.62580847322845e-10,-2.30739128840144e-11,6.57790500911516e-09,0.0519974251586759,-0.0749999989440948,-0.0749999978501998,0.0499999998976092,0.0750000029047311,0.0647063715137381,0.00379994999251323,-0.0750000036503025,-0.0750000020804527,0.0308311310693736,-5.68739860724118e-11,-3.73713366112862e-11,3.04288696847003e-10,-8.59040469182626e-09,1.9304119659482e-08,-1.21742397410418e-10,0.063918571816943,-0.216576738387491,0.14999993910896,0.130751668212913,-0.128173954684127,0.15133453256902,0.146814490156008,0.139119216027309,0.149999741133762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348247335022052,0.39678640277887,0.542872638972356,0.202161098828564,0.768573950879208,0.686037565348255,0.593226420841595,0.861385095385867,0.714384603666615,1.00717491642296,0.830003834820675,0.891555685268909,0.0181376847663051,0.244908641190886,0,0.519965316342772,0.223427066533508,0.0116931759636683,0,0.516277392950598,0,0.477034945521812,0.163140070265521,0.0527626200164625,0.198295228029488,0,0.149177028535507,0.0508304238313964
6,-0.00971105976456132,0.0659603995633802,0.0556992244137119,0.0781825193740147,-0.0463820752545354,0.054673413997429,-0.0780113031567972,-0.0644850239617453,0.0551090603815308,0.999999999736825,3.12084245908677e-10,4.09625544515981e-11,-5.61177522865395e-10,-4.99904229976576e-11,5.52978635262306e-10,0.0519974248907638,-0.0749999995157366,-0.0471029464561264,0.0499999999970422,0.0750000003608578,0.074999999848408,0.0463381862732516,-0.0750000004184882,-0.0750000002119496,0.0400900184201255,-1.3271715883835e-12,-5.9231382252569e-12,1.0628582696263e-10,-1.58572085336793e-09,7.17093782237231e-10,8.34418523772475e-10,0.0652529369698554,-0.186837461427767,0.149999998241113,0.107737473843594,-0.135293734504745,0.150000079259119,0.169400287798802,0.153648911934707,0.149999970059467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315413916422035,0.363982044343788,0.510544574845133,0.168851385920701,0.843793809820397,0.78365005903512,0.674851350501205,0.952592518354315,0.835590074577739,1.13086729652054,0.951111947646366,1.01534542345191,0.0129043845417134,0.249312560228897,0,0.522200737291391,0.224714151277709,0.0118818371706386,0,0.527010150857601,0,0.494315820492903,0.173162543504304,0.0457167918089054,0.205419443148157,0,0.160352065343171,0.0376545068460725
7,-0.0113556452761793,0.0647284616888026,0.0567101662032282,0.0800153363544064,-0.0448397587387417,0.0556824991584542,-0.0797704567647875,-0.0661935065230916,0.0558344698829094,0.999999999999987,1.00682613293228e-14,-1.17961269741373e-14,-2.62652852481751e-14,2.18409218934041e-14,1.10796731010896e-14,0.0519974248756878,-0.0749999999999997,-0.0750000000000028,0.0500000000000004,0.0750000000000025,0.075000000000001,0.0500000000000008,-0.0750000000000051,-0.0750000000000036,0.0324889007576468,-6.99347899482581e-17,-2.42490849011904e-15,-3.36306897628168e-15,9.30219945849906e-14,1.9528323763635e-14,-1.12175796775769e-10,0.0693327632808964,-0.103722418619716,0.15,0.186517188067806,-0.125678202487879,0.15,0.223215356330294,0.183095867286369,0.150000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131676763033769,0,0,0,0,0.280955838024737,0.329439378031858,0.472092171032988,0.138303045023607,0.929088814846017,0.870648621231392,0.763320391197529,1.03641704487988,0.954299474543783,1.2560963199506,1.0694831700314,1.14091262446298,0.00807172718349306,0.248300727802829,0,0.52234408723787,0.227922452973121,0.0126239942019106,0,0.525008484002409,0,0.39431745026597,0.175189024530025,0,0.209080753517035,0,0.16727602062438,0.0355870276384799
8,-0.0129907501691425,0.0631181017718106,0.0577102069835009,0.0818642454950792,-0.0433013424027618,0.0565655841411994,-0.0814902202902377,-0.0678955438086465,0.056268219018673,0.999999999999986,1.43228807221492e-14,-1.36411909276429e-14,3.61321263754409e-15,3.57828735561549e-14,7.37774377102414e-15,0.0519974248734513,-0.0750000000000015,-0.0750000000000019,0.0500000000000005,0.0750000000000016,0.0750000000000015,0.0383666649499935,-0.0750000000000027,-0.0750000000000023,0.0109934898733538,8.43813555968513e-16,-1.67418851390885e-15,-3.91922435472626e-15,8.82298545442729e-14,-2.63728191912196e-15,-1.12149258522211e-10,0.0648219194567574,-0.165514543334604,0.15,0.220278369691287,-0.104351713136156,0.15,0.111470061475828,0.0856665750698441,0.154906047351909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17992287776247,0.216189511455388,0.293352983103626,0.420538547558233,0.0890039470007808,1.01492850465976,0.97048863787073,0.859837081325867,1.12558006120462,1.08750779897957,1.37626197049296,1.17862940899128,1.28514036048125,0.0172254268724737,0.241238973915751,0,0.509692507481971,0.240342970835649,0.0441257087802886,0,0.287830243081022,0,0.377978756047519,0.162768835065085,0.0197868073479563,0.209360104230356,0,0.175770974478941,0
9,-0.0145810604944874,0.0615192169036606,0.0585129749601952,0.0837128446882447,-0.0417850742528711,0.0574303968651835,-0.0830841964408568,-0.069515754971086,0.0560237773141512,0.999999999999985,1.62034372300112e-14,-1.50518635998143e-14,2.57597220915196e-15,3.71494334290544e-14,7.54006766034653e-15,0.0519974248769479,-0.0750000000000019,-0.0750000000000026,0.0303749230541752,0.0750000000000015,0.0750000000000013,0.0480661102219939,-0.0750000000000026,-0.0750000000000023,-0.0352066595782976,8.54395212561793e-16,-1.67359641369223e-15,-4.47845628670533e-15,9.30079494198394e-14,-4.47168160229316e-15,-1.10900372846456e-10,0.0842720165172779,-0.157700691374271,0.15,0.235989617638126,-0.106384599790608,0.15,0.122547103920286,0.0907114016338468,0.201265264903222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17939159905926,0.176473692309914,0.268784361238696,0.39481659049277,0.0504414630558397,1.10185898267976,1.05971154745318,0.944908590365355,1.21666193976759,1.19289561406175,1.49268456914331,1.28762296268479,1.39795722052027,0.0172319358578729,0.245041775072137,0,0.51711878887119,0.247017892521623,0.0429645482650953,0,0.291614193458538,0,0.384663882127825,0.172498615521633,0.0102377175453544,0.219071033908034,0,0.186352980449987,0
