timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,-1.25624294740181e-09,0.0700000000458765,0.0500000006182092,0.0699999999261402,-0.0549999991293463,0.0500000012430153,-0.0700000002838298,-0.0550000002949136,0.0500000003099441,0.999999999836839,-2.43418437988902e-11,-5.71534546722877e-11,-2.575116626485e-10,-1.14265800509887e-09,5.18886993797344e-10,0.0520000000125764,-1.47140896359567e-09,1.13452778723323e-09,1.0491784476713e-09,-2.90550926163772e-09,1.72138013424519e-09,5.69140131842253e-10,-2.5794467665462e-09,-1.89760513500494e-10,4.28832231649513e-10,-1.62298015432934e-11,-4.42653598255636e-11,-3.59515174211327e-10,-1.70032671599158e-08,7.0424845145448e-09,2.0712949618371e-10,-0.400000607340965,-0.121190445269485,0.189161698985539,0.324484577471249,0.0164176350475304,0.197509818362908,0.399999033805666,-0.163171825200207,0.217969999440099,0,0,1.63778743574822,0,0.01,0.945294160212404,0.01,0.01,0.01,0,0,0,0.01,0,0.01,1.84553953975875,0,0,0.01,1.67551399742462,0.01,1.44844749241052,0.894883603371472,0.01,1.41230916304084,0.01,0.724592403580443,0.01,1,1,0,1,0,0,0,0,0,1.36937869154466,1,1.25017650429499,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,-0.00169995353422739,0.0685141411268665,0.0496070271646194,0.0707178137139994,-0.0536605675179236,0.0495356925737647,-0.0689334854453988,-0.054036260642144,0.0495356898992884,0.99999999681737,-9.96198787901311e-11,2.32871033510097e-11,-3.99078482832108e-09,-3.87369219103144e-10,1.88300856511544e-09,0.0519974439254847,-0.0749999836489122,-0.0749999970830796,-0.0391018353018625,0.0714242994738215,0.0750000007635734,-0.0461999007736799,0.0749999890260282,0.0750000152109216,-0.0462000620130639,-5.35912229073074e-11,-5.47168647116683e-11,-2.52087756993476e-09,-2.56330747040182e-08,1.84950512556596e-08,-2.90499513857103e-05,-0.322067539079744,-0.084901724576824,0.234156490705208,0.168310201607375,-0.0188782172507059,0.243226191720351,0.234801208383669,-0.231208774088044,0.181420128580601,0.01,0,1.72998511662426,0.01,0.01,1.01267210668714,0.01,0.01,0,0,0,0,0.01,0,0.01,1.89732467438075,1.10207933062992,0,0.01,1.72364891227326,0.01,1.45990201384302,0.840777819174135,0.01,1.41740937256507,0.01,0.66465667562146,0.01,0,1,0,0,0,0,0,0,1,1.01393193981731,1.01148930384751,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-0.00361991281890059,0.0668657824277818,0.048596187268856,0.0719164566341509,-0.0519510928485389,0.0484961630185553,-0.0673400986765933,-0.0524139103387775,0.0484947790857408,0.999999996723595,-1.15365679900426e-10,-2.72871966579971e-11,-4.28113931577337e-09,-5.73841488943536e-10,2.44364488549471e-09,0.0519974248814971,-0.0749999820452543,-0.0749999965643947,-0.0500000002800658,0.0485543608435641,0.0749999972534984,-0.0500000002574296,0.0749999879297062,0.0750000157538126,-0.0499999994953956,-4.35633856337555e-11,-7.74850718017283e-11,-3.05918050529418e-09,-3.02933434177484e-08,1.87753580988737e-08,-4.20568901921625e-07,-0.347049906417486,-0.109192526577091,0.247442244994719,0.210025213319849,0.0474094219663184,0.24941313218456,0.236054955877015,-0.240366701744155,0.237826991063536,0.021113587606946,0.01,1.80851237584502,0.01,0.01,0.939335637913354,0.01,0.01,0,0,0,0,0.01,0,0.01,2.03290792973306,0,0,0.01,1.80507551512086,0.01,1.48929880746816,0.782480459140603,0.01,1.33967696952589,0.01,0.551785306569558,0.01,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3,-0.00553987262012876,0.0651023919362716,0.0475792603020027,0.0732325218839252,-0.0502840450973492,0.0474527224651633,-0.0656952620481914,-0.0508683226805515,0.0474551672650124,0.999999996450243,-9.44286660944282e-11,-2.90740897825165e-12,-4.37785269257331e-09,-1.39230279597559e-10,2.30269534017466e-09,0.0519974248438618,-0.0749999811303664,-0.0749999961194013,-0.0499999996093099,0.0749999887431097,0.0749999928972516,-0.050000000965746,0.0749999882675549,0.0750000161185481,-0.049999999685943,-3.36365437807493e-11,-6.40888693513489e-11,-3.25490825684513e-09,-2.80449256853667e-08,1.89367318224552e-08,-1.03890731006789e-09,-0.35639226906379,-0.14890627137163,0.2401965095398,0.19392147046316,0.0933493130598747,0.250000014070404,0.214201792377576,-0.256355337165402,0.243466414663525,0.0580989722486229,0.01,1.87530683736769,0.01,0.01,0.815775851327862,0.01,0.01,0.01,0,0,0,0.01,0,0.01,2.06227178627123,0,0,0.01,1.82090578624049,0.01,1.45374973184662,0.68751898897911,0.134903126279693,1.3135664698719,0.01,0.443273889878107,0.01,0,0,0,0,0,0,0,0,0,1.04412017237437,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,-0.00745983203593402,0.0632918681077065,0.0465515713756076,0.0747524792828467,-0.048653343932015,0.0464121204517081,-0.0640549026856928,-0.049317396412312,0.0464243790158096,0.999999996372641,-1.34498286713757e-10,-5.64692883384958e-11,-4.70161613717418e-09,-1.29884997448923e-09,3.13808622041021e-09,0.051997424855033,-0.0749999862925942,-0.074999994848586,-0.0500000001455321,0.0749999880085222,0.0749999941354833,-0.0499999996769024,0.074999987625135,0.0750000169909065,-0.0499999995535676,-5.70668326910796e-11,-8.76615495399427e-11,-3.17320460322624e-09,-3.60873937632458e-08,2.5191116669355e-08,-3.33765714302195e-11,-0.267694073591379,-0.194419832588426,0.249999940017422,0.216063058066492,0.115119365203662,0.250000133168389,0.277163424669301,-0.269214071151039,0.250000183943715,0.01,0,1.74966915925056,0.01,0.01,0.01,0.01,0.719860984031428,0.198377323759503,0,0,0.01,0.01,1.18790852915746,0.01,1.96988643681064,0,0,0.01,1.73654225108388,0.01,1.43986110729214,0.711277280651582,0.0722184162397111,1.25991100165308,0.01,0.475170003880746,0.01,0,1,0,0,0,0,0,0,0,1,1.12268539516218,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,-0.00937978849694163,0.0613718907018465,0.0455030606827775,0.0741429879635341,-0.0470321922727226,0.0453636104276222,-0.0623254660389148,-0.0477427349837726,0.0453758695948724,0.999999996233703,-7.36306509670993e-11,-1.74149797147379e-10,-5.33780136075473e-09,-3.94085082196211e-09,1.54407463279292e-09,0.0519974248753503,-0.0749999908382498,-0.0749999956818996,-0.0499999995977203,-0.0750000167436737,0.0749999886376255,-0.049999999561645,0.0749999829206037,0.0750000132034603,-0.0499999979922105,-3.99099950695588e-11,-1.45181146980635e-10,-3.63422648669987e-09,-6.45305364245168e-08,1.53332278267916e-08,1.93644920034578e-10,-0.202613818457507,-0.186776467647783,0.24578593736684,0.312464860049777,0.156026669228712,0.250000180674272,0.355979017688109,-0.210460023489938,0.193815669774289,0.01,0,1.70494946850418,0.01,0.01,0.01,0.01,0.864629731669131,0,0,0,0.01,0.01,1.15539522748132,0.01,1.81788905506984,0,0,0.01,2.38975918595729,0.01,1.5068978546811,0.827479242278195,0.0149454674541688,1.22179673181107,0.01,0.55617678831605,0.01,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,-0.0112653858968195,0.0597788360823849,0.0445276357934321,0.0729955704675004,-0.0453718595972229,0.0443201617474069,-0.0606490548613608,-0.0462129801794001,0.0443622944305474,0.999999485179773,7.20336429267783e-06,-5.19876784017561e-06,0.00102231684015562,-5.02519013844388e-05,-0.000180489793304634,0.0519957194393139,-0.074999991825699,-0.0489702751978887,-0.0384248154601723,-0.0399171639212112,0.0750000083035324,-0.0499999997098237,0.0749999905785304,0.0750000137418576,-0.0500000000591552,-0.00710193151157839,0.0381836374310338,0.444301903279492,-0.0125812815520443,-0.0424081641823202,0.000794573961899495,-0.204167102624468,-0.165915331079165,0.249999933233791,0.138798291936344,0.400000092754216,0.25000011930244,0.290000804757858,-0.209431530825798,0.249999975869788,0.01,1.63987105735376,0.01,0,0.01,0,0.01,0.01,0.01,0,0.0918466996877173,0.076155755121744,0.01,1.24587286823803,0.01,1.86840440401031,0,0,0.01,1.61903915305836,0.01,1.53594066903295,0.795176966190293,0.0212235768526473,1.1683437690715,0.01,0.576663296217134,0.01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,-0.0130987393677127,0.0582375695434863,0.0439656363571813,0.0726279445364645,-0.046085413061911,0.0432716512336024,-0.0593916982934976,-0.0449682884678892,0.043486045364616,0.999954759655396,3.56708029940591e-06,8.0757665476971e-06,0.00953367229068467,-0.000204493677478414,-0.00151881369809634,0.051997228740452,-0.0749999969112182,-0.0750000008663583,-0.0279653693052773,0.00294017301237048,-0.075000002361012,-0.0499999999677631,0.0439651782091162,0.0381573983712593,-0.0351624800918941,-0.0416852666578882,0.0335657021009432,1.10402966711087,0.0103797242689242,-0.0747378038837764,0.000274896341125913,-0.173222336630267,0.0216676324336275,0.205151785725819,0.180324047426596,0.399999018675246,0.2500000127,0.302400168177956,-0.0788919564509017,0.204133968035703,0.01,1.58128837962513,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0.01,1.11179261294427,0.01,1.62693515971019,0,0.01,0.01,0,0.01,1.74861039813665,0.857278625801299,0.240478512818245,0.865782426435351,0.01,0.47670622068039,0.01,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1.03349003605635,0,0,0,0,0,0,0,0
8,-0.0149831066725562,0.0564393941539918,0.0437328413010579,0.0726440084855155,-0.0469964021391978,0.0422231419456928,-0.0586677948978174,-0.0450417278987835,0.0429972046117963,0.999834496096198,5.84243688954835e-06,1.72345862125984e-06,0.018214550639999,-0.000155979722552323,-0.00305243153154148,0.0519974456411785,-0.0749999937759218,-0.0750000042877053,0.000740971706922908,-0.00131243203739647,-0.0163921222624576,-0.0499999999280147,0.0241213238212171,-0.0467632023151772,-0.0135197600653297,-0.00965744033485123,0.0013573673060524,0.782513709752132,-0.0038357496244772,-0.0774610477056136,8.75987430699207e-05,-0.121565901072487,0.0535158603005221,0.206878157792762,0.150519825439886,0.399993714146347,0.25000003057972,0.187863374498113,0.00907080007435032,0.205164931826824,0.01,1.52326532115094,0.01,0.01,0.01,0.844863535859354,0.01,0,0.01,0.817254636498938,0.0335057698637242,0.110316215344096,0.01,1.17878197055594,0.01,1.6135027727305,0,0.01,0.01,0,0.01,1.85194380215633,0.903872040758201,0.131539668825793,0.808707699583131,0.01,0.597485956326452,0.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0220036028105,0,0,0,0,0,0,0,0
9,-0.0168675589725744,0.0546920365612863,0.0437501558473082,0.0713168299239672,-0.0455521464180665,0.0411746312553493,-0.0581203422062059,-0.0467922866329302,0.043012179835279,0.999663808245271,5.46016480757617e-06,8.56227050134705e-07,0.0259492568182201,-0.000236515546165405,-0.00451828788706605,0.0519974932376367,-0.0750000010566947,-0.0750000021748137,0.000964311346246448,-0.0750000009836381,0.0749999979925663,-0.0499999996915819,0.0285348529498656,-0.0750000015861741,0.0116320328668286,-0.00930692441465953,0.0049777796330363,0.80367224113735,-0.00371659889923001,-0.0724133624709838,6.70391085521676e-05,0.0957867892521981,0.0322193326590138,0.150000032548549,0.108897037102593,0.399999176641307,0.248116630201637,0.399999432077015,-0.154603437791306,0.15359888459513,0.01,1.10606150533205,0.01,0,0.01,1.05361160964383,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0.477603027272982,0.01,0.227449450931544,0.01,0,0,0,1,0,0,0,0,0,1.12823678289831,0,0,0,1,0,1.03164074556387,1.12981958548011,1,1,1.27995063069821,0,1,1,0,0,0,0,0
