timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,-8.63792636911433e-11,0.0699999999854824,0.0499999999911767,0.0700000001105719,-0.0550000001925183,0.0499999999463856,-0.070000000094181,-0.0550000001899821,0.0499999999853574,0.999999999992237,-2.72269096843514e-11,-1.13927544369346e-11,-2.93954016786887e-11,-1.17158096456824e-11,-8.05519051486678e-12,0.0519999999964132,-1.61389004654014e-13,6.33789596421861e-11,1.103877420843e-12,1.44069969666648e-11,-3.46137495959886e-12,-3.20369620282468e-11,-2.56426329785611e-11,-7.10809477445885e-12,-3.83943401738876e-12,6.20293513981713e-13,6.7205308184667e-13,-2.2893838967258e-12,1.94283651954408e-13,-4.3168472539287e-11,1.2515613177338e-12,-0.165295677018024,0.0791108831653182,0.150000000656423,0.060778681553037,-0.00739955378297526,0.249999980949163,0.186430742192309,0.0645288493747534,0.183369131747191,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.117992676743999,0.01,0.01,0,0.01,0.43407133314017,0,0.01,0,0.01,0.01,0.01,0.542029274719509,0.5,0.575762567981776,0,0.622777806617227,0.646174578169593,0.503771199417327,0.546689640010328,0.537594343604545,0.661670408287059,0.5042224245637,0.516051471431992,0,0.5,0,0.538482953996154,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0
1,-0.00130368328229558,0.068632515358574,0.0504149378783157,0.0696946218853373,-0.0540694504729347,0.0505406899999995,-0.0709778228073158,-0.0561300169627626,0.0505406899999969,0.999999999999967,-1.52624785476501e-14,3.03197641845753e-14,6.03367795181146e-15,6.52930974341889e-14,7.42187181329761e-15,0.051997443923655,-0.0750000000000019,-0.0750000000000031,0.0412873510763468,-0.0303858820532764,0.0750000000000007,0.05,-0.075,-0.0750000000000015,0.0500000000000004,9.34327923634066e-16,-9.41697629804952e-16,-1.05807667798021e-14,1.72292015824518e-13,3.16606392930315e-14,-2.90503201318025e-05,0.0528991590510849,0.0693185613321827,0.189125926590982,0.122100721635677,-0.0846914452635162,0.229499091122232,0.11531156184542,0.0831376338998219,0.173877498200344,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0.111523435680483,0.01,0.01,0,0.01,0.478311052827174,0,0.01,0,0.01,0,0.01,0.5,0.5,0.529156795548733,0.5,0.5,0.618763336288875,0.5,0.5,0,0.663845197705728,0.511743086630926,0.529750029077194,0,0.5,0,0.541244497211951,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0
2,-0.00307231958467609,0.0668157239551285,0.0514002315789313,0.070162514167359,-0.0528477744476697,0.0515514517167982,-0.0726497249801955,-0.0577353309903713,0.0515788438685376,0.999999998980629,-4.64140254631955e-11,4.53095254709943e-10,-2.81350418014319e-09,-2.38374117426558e-09,-1.83991220517918e-09,0.0519974248907539,-0.075000000027304,-0.0750000012571862,0.0500000000004069,0.0749999995450159,0.0473052410795793,0.0499999986591754,-0.0749999989457419,-0.0749999974401146,0.0500000000074825,1.78496582148006e-11,1.43031307482664e-11,-2.79597426743477e-11,2.11799960469135e-09,-4.35693526257761e-09,-4.20805388596384e-07,-0.0813575919913912,0.179783209030887,0.184920416121988,-0.0274376219392047,-0.0739943395254821,0.230550996807221,0.00381571253071984,-0.0417114443862013,0.174771260102322,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.0741624786173924,0.01,0.01,0,0.01,0.464422360103923,0.153569701145247,0.021677301653728,0,0.01,0.01,0.01,0.5,0.5,0.5,0,0.5,0.660595091757717,0.566416828315144,0.612216364944259,0.5,0.651068726058006,0.551921013544437,0.575558857509497,0,0.5,0,0.531002244667846,0,0,0,0.5,0,0,0,0,0.5,0,0,0
3,-0.00467826446733594,0.0651341234979184,0.0524273485089236,0.0716489704092237,-0.051798305562091,0.0520871393189942,-0.0744603345065828,-0.0593962698365578,0.0524173819180899,1.00000000112892,-1.46980195678101e-09,-4.45172293608997e-11,-4.10695035736912e-09,1.55961863503698e-09,6.47923833373185e-09,0.0519974247583291,-0.0750000001418923,-0.0749999973365562,0.0499999999830535,0.0736519530824852,0.0575914996462173,0.00379996473403337,-0.0749999962343002,-0.0749999987986936,0.0339339607769735,-2.48284997509272e-11,3.38333881859289e-11,-9.03945783418592e-10,1.0929064553703e-08,1.37030242444268e-08,-1.03627636442524e-09,0.113174460764438,-0.0939051096732482,0.14999998992261,0.221246200935306,-0.0658312200519016,0.224884123457293,-0.0447628854920313,-0.0183339681417086,0.184107089752675,0,0.0286384539896797,0,0,0,0,0,0,0,0,0,0,0.01,0.330486688104324,0.01,0,0,0.01,0.01,0,0.01,0.548510483662942,0.217012036926007,0.10496268851812,0.411507782277102,0.01,0,0.01,0.5,0,0.5,0.5,0.5,0.665100706805786,0.536223773448013,0.612850127999958,0.556361054810934,0.824936160914166,0.65299083052552,0.728306385199576,0,0,0,0.520487617180957,0.5,0,0,0.543287765723378,0,0,0,0,0,0,0.5,0
4,-0.00636726936068024,0.063425279004211,0.0534308331433297,0.0724929176005531,-0.0510972262225361,0.0516988352162134,-0.0763447842418872,-0.0610509313650636,0.0529303296739447,0.99999999999997,3.92841259531444e-15,-1.47092391736531e-14,2.20095966777138e-14,6.14876364669494e-14,-4.87582121032549e-15,0.0519974248766325,-0.075000000000002,-0.0749999999999997,0.0499999999999999,0.0110557414213629,0.0127402430351229,-0.0423994156806034,-0.0750000000000029,-0.0750000000000024,0.0174432563947746,-3.16386156243423e-16,-1.0869709194784e-15,-8.17172929873522e-15,1.73810853666272e-13,-7.97088170601619e-15,-1.10442800948565e-10,0.170014319932883,-0.144344036662645,0.15,0.182032629094261,-0.0589806950751712,0.228431919076075,-0.150727335510855,-0.0496742509282917,0.179159484447587,0.116673903150008,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.155045730164024,0.01,0,0.194021116431778,0.01,0.01,0,0.01,0,0.01,0.01,0.302299502084562,0.01,0,0.01,0,0.5,0.5,0,0.528741029289455,0.754335329014215,0.62637676853673,0.667956825371606,0.682334001796256,0.894677431806558,0.747057412421583,0.829954021181232,0,0,0,0.5,0,0,0,0.541082639623352,0,0.5,0,0,0,0,0.5,0
5,-0.00797629015885625,0.0631546455151948,0.0539665234553634,0.0738153684508337,-0.050073886422453,0.0513915377447921,-0.0781102085068482,-0.0626827834964278,0.0528847597291124,0.999999998336551,4.86466959193405e-10,-2.23322201465592e-09,-6.73215697774023e-09,-1.31268267827423e-09,4.53284279273151e-09,0.0519974233903554,-0.0750000002098114,0.0473256959018023,0.00380003080768198,0.0749999969225452,0.0750000001307858,0.0114006714885288,-0.0749999978898593,-0.074999999245725,-0.0218033304169556,4.95389549568911e-12,3.37649287300288e-11,-1.00573975053532e-09,9.92622869762218e-09,3.85594211140369e-09,-1.51764142597875e-10,0.130748887022784,-0.258506543036288,0.241155831081699,0.0388766562152019,-0.069000522293379,0.232200587085987,-0.2171939608459,-0.0795418741084614,0.244441581935166,0.0767196182392013,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.248176807594217,0.01,0,0,0.01,0.01,0.757760258705376,0.01,0,0.01,0.01,0.364448011616873,0.01,0,0.0587840796499732,0,0.5,0.5,0,0.592753858765061,0.792965323251218,0.664102791322063,0.721616390694212,0.776572767035939,0.999664764627838,0.846679855085724,0.929557676578048,0,0,0,0.508144129305513,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0
6,-0.00947708768743311,0.0636183012339962,0.0535782144062601,0.0754078385189886,-0.0490859074571596,0.0521317228308834,-0.0797889425735306,-0.0642404755889498,0.0522779485061126,0.999999997292497,6.89793111217995e-10,2.79324516071459e-10,-2.64694269262481e-09,1.46390360688507e-09,-4.21450937382098e-09,0.0519974248904883,-0.0750000001071639,-0.000721235292228372,-0.0423999714385799,0.0749999972488992,0.0240523980815836,0.049999999976473,-0.0749999973121935,-0.0749999987395605,-0.0387936965984532,-6.13239340032178e-11,1.08123645339501e-10,-7.20611733770055e-10,9.99572230580202e-09,-9.89767688469798e-09,2.21290220935361e-09,0.060530934050669,-0.0582884029219845,0.250000039572047,0.0978579027054284,-0.0561157125727323,0.161712182338678,-0.159587095301076,-0.0603642485286669,0.250001434710574,0.198959230199615,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.207862285861443,0.01,0,0,0.01,0.01,0.763936477656205,0.01,0,0.01,0.01,0.383028487775624,0.01,0,0.0459592700323895,0,0.5,0.5,0,0.750255497608479,0.736468553122913,0.63930240411377,0.847421646617626,0.881005400809468,1.13072357027419,0.964688339574755,1.0470406315089,0,0,0,0.521437679513482,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0
7,-0.011001409151492,0.0640079549011507,0.0525508641941214,0.0769828199820291,-0.0482967942832324,0.0531882128100769,-0.0814135027944849,-0.0657739515049987,0.051667083663006,0.999999999999972,1.33339921755308e-17,2.91485652679854e-16,3.24745264766243e-14,6.42923663530258e-14,-7.90131064754856e-15,0.0519974248756885,-0.0750000000000016,0.0394862354131898,-0.0499999999999987,0.0750000000000052,0.0547065177478,0.0500000000000004,-0.0750000000000035,-0.0750000000000027,-0.0223747041919348,1.47808479378902e-15,-7.60096568747822e-16,-5.61883733619864e-15,1.36044690618876e-13,-1.42503470639835e-14,-1.12167043412004e-10,0.0807143391998694,0.00767222976428388,0.250000000000001,-0.092619579303706,-0.0707709549262679,0.15,-0.027776554184512,0.0525287055195859,0.152679712605615,0.195200631610998,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.268681249308995,0.01,0,0,0.01,0.01,0.679977275736326,0.01,0,0.01,0.01,0.659664804267161,0.01,0.01,0.01,0,0.5,0.5,0,0.815015651223413,0.798593107230636,0.696984553131394,0.916624205322656,0.984484741883534,1.24719594915817,1.07217673547993,1.15950395556178,0,0,0,0.516869040835268,0.507353147019851,0,0,0,0,0.5,0,0,0,0,0,0
8,-0.0125274878721397,0.0631814410041442,0.0515023542167886,0.0784903673837972,-0.0472334989619562,0.0542430811144595,-0.083069064473532,-0.0673358058604478,0.0510486570350852,0.999999997755022,1.33509780995476e-09,-5.52256939982942e-10,-4.14813256338871e-09,-5.11795236024741e-10,1.3869030484946e-09,0.0519974245706922,-0.0750000000758941,-0.0749999993425489,-0.0500000001825905,0.0750000010046915,0.0516375486287314,0.0500000001955941,-0.0750000021790044,-0.0750000013219566,-0.03938260640792,-2.30584172378085e-11,1.57895445685135e-11,-5.07752907519109e-10,3.28025892497661e-09,5.78007610921887e-09,-7.03362879603056e-11,0.0116093561940353,-0.171334105802932,0.149999891415547,0.121838186048938,-0.00172088220205004,0.169063599186507,0.0633231362249644,0.0719650590078283,0.20119784459097,0,0.127750828721516,0.93994811074352,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.38533544980288,0,0.01,0,0.01,0.558989270971531,0,0.01,0,0.01,0.0871733148856729,0,0.5,0,0,0.5,0.87608773364899,0.813443162728945,0.746644013238761,0.942886883139172,1.0845718041028,1.38536054582416,1.16989159279667,1.3000407571303,0,0.5,0,0.597995058228218,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0.5
9,-0.0144474474803358,0.0612614633658033,0.0510430469166768,0.0790602866043697,-0.0466879709979896,0.0552499586015501,-0.0843670197843145,-0.0681247177326904,0.0508017027344675,0.999999999516112,2.8874301104385e-10,-7.35391268554455e-10,-4.20390146009266e-10,3.14738276218553e-10,-6.16591658869092e-10,0.0519974247091893,-0.0749999998357722,-0.0750000001757131,0.00380026904577541,-0.017545625757715,0.00315841147044342,0.0500000000974862,-0.0548955209296122,-0.00424402835630759,0.0144179918701601,6.86270692379196e-12,1.17325513937497e-11,-4.05660109366798e-11,1.12574299857652e-09,-2.16871303750952e-09,-1.74262126375946e-10,-0.399999902351439,-0.400000104484917,0.150000006421206,0.0214673699913978,-0.033894384272556,0.149985405682848,0.24894625128546,0.179873653026587,0.219720291809122,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.340888549883174,0,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0.578562053814087,0,0.904491964814618,0.850675389596407,0.738820782609088,1.01634657180194,1.17348383602553,1.46423143228067,1.27040700718281,1.36730826112338,0,0.5,0,0.611132985436999,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5
