timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,1.37934955458038e-12,0.0700000000319874,0.0499999999913692,0.0499999999799642,-0.0699999998294853,0.0499999999981374,-0.0500000000030797,-0.0700000002440604,0.0500000000023118,1.00000000018883,8.64304770907948e-11,-8.05748574849482e-11,-3.56561520081144e-10,-2.83815103736888e-10,5.14468926556858e-11,0.0509999998788694,-4.73655362443113e-12,6.74892524771944e-11,-3.96697813797809e-11,-2.97200552143306e-11,-2.36174333421088e-10,-1.84923693626749e-11,-8.66473074560822e-14,1.44844507972871e-10,-3.64386110711556e-11,-4.2395805101232e-13,5.24489170712808e-13,-2.98258220401921e-11,1.04312335045819e-10,4.03200119183063e-11,-1.5548392806613e-11,-0.0332804376828302,-0.0765333942809879,0.218773889145333,0.0164346055832696,0.120821287201206,0.200785443204304,0.0364750904128718,-0.207169881248977,0.219330908865109,0,0,0,0,0,0,0,0,0,0,0,0,0.0711868326715628,0.042196233930049,0.00747853530916247,0.0503151851178814,0,0.0389302983904689,0.0815283657805247,0,0.0466257859951528,0.0176346909112992,0,0.00403893897767437,0,0.014380472026167,0,0.0780775495270505,0.527110193386413,0.566979341527529,0.571856304576509,0.522233230337433,0.426816267047001,0.429988705600462,0.389774169441155,0.467030803206306,0.452736209041023,0.397459523378203,0.396534438166341,0.453661294252887,0,0,0,0,0.153036956231085,0,0,0.132166961742109,0,0,0.0834482374163521,0,0.138100976645008,0,0.0931891904198191,0
1,-0.000192252059093869,0.0697972365155173,0.0499902969437782,0.0501947032539397,-0.0687405120053466,0.0501386324345104,-0.0495868149182261,-0.0714798337487379,0.050100614898349,1.00000000018034,6.58955897185428e-11,-8.03655868178714e-11,-1.5652294113549e-10,8.40271933007299e-11,8.16517038948463e-12,0.050999999890223,-0.01747745495366,-0.0184330464618987,-0.000882095426847968,0.0177002945645474,0.074999999836863,0.0126029486123969,0.0375622778694004,-0.0749999998817957,0.0091468087469185,-5.75845299818912e-14,6.45103120078127e-13,-2.16547554272394e-11,1.36754588374304e-10,-9.60239287008237e-12,-1.55921399934273e-11,-0.0169090075197065,-0.071406458239393,0.20738117779491,-0.0762403444934287,0.0419867777161429,0.19017595607488,0.0184261286904542,-0.158567415631309,0.213425728556405,0,0,0,0,0,0,0,0,0,0,0,0,0.0679324125902349,0.067257877404518,0.00722710177720085,0,0,0.0262289351071986,0.0888247546220394,0,0.0610820923856738,0.0604073500364863,0.0453422539272996,0,0,0.0193851061372738,0.0954515835428434,0.0800839259665427,0.507067643913558,0.570162200042593,0.516586869837176,0.560642974118974,0.28967697349244,0.478704276417446,0.379563300535672,0.388817949374212,0.433883481306484,0.509696020236076,0.436922719465533,0.506656782077026,0,0,0,0.0804303758974222,0.177429871834878,0,0,0.149943919113385,0,0,0,0,0.176113391489105,0,0,0
2,-0.000728805178610524,0.069060365735834,0.0501305198160342,0.0494304655513031,-0.0672982214749764,0.050172245753011,-0.0489532651896815,-0.0731757357998214,0.050098411927942,1.00000000017503,6.97245142440233e-11,-8.64527576216998e-11,-5.32829204827363e-11,1.29276418329975e-10,6.9105863282773e-12,0.0509999998632236,-0.0344778142994716,-0.0519066653426825,0.013469247946333,-0.0749999999832133,0.0697536845084429,-0.00725574730738321,0.026863114166927,-0.074999999882817,-0.00768402262432372,-1.02564858459221e-13,-1.12540427263693e-12,-2.06078276610087e-11,-2.1815453087222e-11,-9.27475472147733e-12,-1.51140962415471e-11,-0.00866596567965581,-0.0495014482855045,0.205560529406304,0.0244659206244864,0.0412754406202515,0.20517903559444,0.037966601160615,-0.169770364966847,0.224522814404875,0,0,0,0,0,0,0,0,0,0,0,0,0.0724526461774635,0.0889660254564003,0,0,0,0.0252382705218081,0.0796457349123069,0,0.0566353641507978,0.0731486791332163,0,0.0022339850918559,0,0.0127406740663711,0,0.0870779339437194,0.471692069259253,0.555413025460934,0.485218676904162,0.541886417816026,0.226433194817092,0.424941222733449,0.312033904724152,0.33934051282639,0.486713544680855,0.567862741064577,0.479708757520668,0.574867528224765,0,0,0,0.116159676892988,0.216116749723836,0,0,0.191042056218975,0,0,0.0760004693668712,0,0.207373616041784,0,0.150882848692858,0
3,-0.00148635171371921,0.0680309176202939,0.0504134288564923,0.0480491413400422,-0.0657246810208114,0.0502235791793914,-0.0481081992436518,-0.0749538572383944,0.0501240195871212,1.00000000019167,1.06251860106081e-10,-6.92324538787954e-11,-7.64296335327856e-11,2.16636978861074e-10,3.8818550837494e-11,0.0509999998236164,-0.0406587304207585,-0.0511171017582783,0.014698710553977,-0.0642112897895779,0.0749999998882865,0.0106031946520441,0.0548447908464959,-0.0749999998614074,0.00861499125524532,-6.98799731198271e-14,4.21357406409328e-13,-1.95117951049948e-11,8.03336448652216e-11,1.88952326066163e-11,-1.5716829010979e-11,-0.00759881599966632,-0.0521122897322324,0.205745724663258,0.0069036674827093,0.0333316822950126,0.202666612246018,0.0378661765230597,-0.182747913474508,0.224005769744437,0,0,0,0,0,0,0,0,0,0,0,0,0.0718735519890344,0,0,0,0,0.0199435774277672,0.0744852316125307,0,0.0535207922645185,0,0,0,0,0.0111985659868532,0,0.0910871055095619,0.425134427722201,0.535837162565013,0.44521716871346,0.515754421573752,0.149792228016201,0.379718482951655,0.24541078421452,0.284099926753331,0.543853408088362,0.62369704626549,0.526550661541733,0.640999792812116,0,0.166470308403433,0,0.143525309053163,0.254984445049037,0,0,0.226479732495133,0,0.156695818768427,0.111101247574556,0,0.261356389613299,0,0.194055671016526,0
4,-0.00241439498242465,0.0675604159971666,0.0509482771917472,0.0468573370822,-0.0639172777262629,0.0506675339054671,-0.0466532075611712,-0.0767781987513743,0.0503151503412219,1.00000000019405,1.3714271226464e-10,-1.31553352221492e-11,-2.11546481643489e-10,1.75358750856238e-10,-9.5798543939295e-12,0.050999999755429,-0.051101328561173,-0.000949789736873021,0.0365963582949578,-0.0558093285922607,0.0749999997354887,0.0316841811912835,0.0750000000374947,-0.0749999998298981,0.010326799309255,9.91686741200134e-14,3.67936265025621e-13,-3.32834530454906e-11,8.77423096040771e-11,-6.52001450266125e-11,-9.50447424660922e-12,-0.00917571293691862,-0.0636425493571198,0.2137115815612,0.00345002698533098,0.131643104249683,0.20677741086028,0.0226568268353234,-0.199951804659052,0.222585236335158,0,0,0,0,0,0,0,0,0,0,0,0,0.0988710789341765,0,0.0190476533858824,0,0,0.0341175341206656,0.0769407429705405,0,0.061765537741255,0,0,0.0109639729335516,0,0.00741069469293784,0,0.0688425186194352,0.394691380667954,0.538315817945005,0.416450410135366,0.516556788477593,0.075008901738501,0.34928132397022,0.178869964600834,0.245420261107879,0.586229151435293,0.710284766984523,0.583675251708496,0.71283866671132,0,0.155648816560617,0,0.208433786748528,0.299970104393284,0,0,0.269954034547455,0,0.146193027142658,0.17620909698849,0,0.290514314975327,0,0.237729344787418,0
5,-0.00351675959482076,0.0674472400892693,0.0516070281644116,0.0457679674055936,-0.0620847728669336,0.0512526973394318,-0.0451099732119109,-0.0786554740128646,0.0506136032344578,1.00000000022509,1.7732783973035e-10,-4.17380414107919e-11,-2.26143143681006e-10,1.98650749326393e-10,-2.9045610215303e-11,0.0509999997299242,-0.0584047719323411,-0.00951161700112998,0.0299439769928484,-0.0533714248856387,0.0749999996908159,0.0272732540887403,0.0750000000419342,-0.0749999998052546,0.0186828816345015,2.38371811159168e-13,6.27092325354287e-13,-3.87320756710474e-11,1.35794191075232e-10,-9.68796785241945e-11,-1.10182995707779e-11,0.00375516910186768,-0.0703022260647624,0.214870815270506,0.00342475444249023,0.147665882940467,0.206796522396776,0.0249975882903003,-0.216800999457335,0.226758855842871,0,0,0,0,0.000512842634922794,0,0,0,0,0,0,0,0.0990644080553161,0,0.0255225510861874,0,0,0.0334932240536315,0.0641859235206069,0,0.0566431857078231,0,0,0.0177951727869132,0,0.00643770357538506,0,0.0564519385271922,0.365029943701113,0.550887198214585,0.396432435956227,0.519484705959467,0,0.305995547699121,0.105564402160182,0.195593199214497,0.637626543888889,0.798035183956197,0.644108664817683,0.791553063027401,0,0.1904836460921,0,0.244297469866125,0.340046575671486,0,0,0.310770922575174,0,0.185181045430286,0.214456698526595,0,0.334743975009674,0,0.280930151235646,0
6,-0.00465323307531954,0.067028578912786,0.0522016186444821,0.0447274760874964,-0.0602364121691007,0.0517948645691291,-0.0435608929546842,-0.0805561535948622,0.0510590489496305,1.00000000022032,2.17003221066239e-10,-5.0518823752865e-11,-2.13056602831642e-10,1.86718154706669e-10,-4.35777372860047e-11,0.0509999996766551,-0.0555300243277947,-0.0302778721399384,0.0295540624797834,-0.0509225847110806,0.074999999650962,0.026973450461749,0.0750000000454949,-0.074999999788175,0.0252090706165378,3.51066801745388e-13,8.17393354340893e-13,-4.3580213913121e-11,1.82592930785604e-10,-1.25136666933116e-10,-1.08598313801443e-11,0.0131509205426397,-0.0692866280733027,0.222763854560162,0.00336357669474733,0.166817350231152,0.21312842686506,0.0273774432362267,-0.225093417387311,0.228847744765741,0,0,0,0,0.00982288744447773,0,0.0462534567390514,0.126558371344176,0,0,0,0,0.0915444200282229,0,0.021030266793744,0,0,0.0265657064150636,0.0515526651669372,0,0.048687955415854,0,0,0.0205239551032874,0,0.00538842906873882,0,0.0510380836972056,0.30552944848229,0.553055559942613,0.355999916946512,0.502585091478395,0,0.273121670403434,0,0,0.686851662065279,0.887496195809964,0.703531104747657,0.870816753127584,0,0.238262663864135,0,0.292130105110224,0.385443496653538,0,0,0.360771026382459,0,0.234255015004591,0.258927485275672,0,0.381435847793993,0,0.327568406547909,0
7,-0.0054745186616933,0.0655871318404439,0.0528368472798416,0.0445820209399503,-0.0588959992603702,0.0523363678045566,-0.0420274421187394,-0.0825154976800683,0.0515934915008773,0.999992773238455,-8.08481714171416e-07,-0.000306527158730875,0.00383874434083792,-4.64411194843346e-05,0.000782888714737657,0.0510612946425532,-0.0292286816445204,-0.0750000000760884,0.0335674609440423,0.0100180757184706,0.0749999996522849,0.0216685428744135,0.0750000000467262,-0.0749999997441902,0.0279600529405984,-0.00033286702100386,-0.0129221562222185,0.613056539229471,-0.000659388649212893,0.0613033569608041,0.00129154951484565,-0.00451440017415799,-0.0499812208738108,0.223896861541947,-0.0585151554110779,0.134114925045008,0.217369794490489,0.0275164020722108,-0.265574409314459,0.23028685509303,0,0,0,0,0,0,0,0,0,0,0,0,0.127521779151048,0,0.00642748540157349,0,0,0.0128907089065688,0.0526918402079049,0,0.0655283344581842,0,0,0.00720646947514071,0,0,0,0.0518763642372235,0.206762450753521,0.503762280120656,0.273356178302941,0.437168552571239,0,0.300584795507388,0.0475050575772721,0.173702068930109,0.767313225739601,0.997035335026606,0.786218489465729,0.978130071300477,0,0.266966567026363,0,0.331736415972128,0.436007300439866,0,0,0.415400631604513,0,0.264866984401576,0.283827901641341,0,0.432249214814004,0,0.369125957498371,0
8,-0.0061464618992435,0.0644068259847183,0.0535512213500746,0.0447703434498032,-0.0573504447186004,0.0526558527390001,-0.0404708953437552,-0.0844756908199784,0.0521993644876631,0.999958355521153,-2.06125987455197e-06,-0.000253905926962177,0.00913680024110577,-4.88440486243417e-05,0.00185022289486498,0.0510519013890946,-0.0371713745683223,-0.04593688937139,0.0374788110701609,0.0141351841250859,0.0749999995913272,0.00976513335914419,0.0750000000496939,-0.0749999997516063,0.0322029871971116,-0.000260176463584586,0.000884756264252077,0.507828586732834,-0.00108779287661377,0.0519085807130142,2.12197268375846e-05,0.0242660199812482,-0.075816315260988,0.225578916401205,-0.0601161366173932,0.140833856352185,0.230839021411864,0.0335865215000913,-0.287030909602316,0.233370892340442,0,0,0,0,0,0,0,0,0,0,0,0,0.133355535884969,0,0,0,0,0.00499205101163701,0.0461837380391203,0,0.0633244329205242,0,0,0.00285538281303851,0,0,0,0.0451910404970534,0.113897138233955,0.46389232201321,0.198992165684527,0.378797294562642,0,0.316185582895011,0.0439394767546896,0.180013071765083,0.841799702125268,1.1013568048389,0.864657007599598,1.07849949936457,0,0.277936914744138,0,0.362235773042238,0.494349658063165,0,0,0.465626256838249,0,0.278002732994024,0.299511246934803,0,0.487171894270058,0,0.410089779099731,0
9,-0.00671324503346351,0.0637142398528185,0.0543577505816578,0.0451393881002571,-0.0558156152815546,0.0527581441275943,-0.0389061647682153,-0.0864521665391806,0.0528817820440508,0.999897939154032,-3.40987487175835e-06,-0.000257060035395526,0.0142937036462956,-8.48926557012381e-05,0.00291712995205499,0.0510536411494969,-0.0211128681834151,-0.0253776515521761,0.0426563571681962,0.0213773633751331,0.0749999994836395,0.00146393279844015,0.075000000038562,-0.0749999997197106,0.0356900530232574,-0.000265454425188811,0.000426991526887128,0.514165388442461,-0.00222927114483781,0.0536483872922552,5.28932343622397e-06,0.0772438313833043,-0.128253204304192,0.223999448088562,-0.0712979866760961,0.178575596439783,0.237326626410574,0.0359339869238643,-0.335976322932134,0.236481241756035,0.0569144887044006,0,0,0,0,0,0,0,0,0,0,0,0.138729861748258,0,0,0,0,0,0.0344943856153218,0,0.0600300473773809,0,0,0.00131119400833327,0,0,0,0.0402717402852358,0,0.440317983369816,0.135659602258521,0.335980404794439,0,0.335302810560994,0.0393083677995785,0.191676023526617,0.923015207975749,1.21606938061397,0.949915055313985,1.18916953327573,0,0.291114963831012,0,0.390278731728503,0.548431950124575,0,0,0.508278616692623,0,0.295400479111581,0.320025636604788,0,0.537153529104866,0,0.453519901570319,0
10,-0.00656211817674257,0.063681402330099,0.0550233372982242,0.0455754927489846,-0.0544612956105928,0.0527367069305709,-0.0373361338546897,-0.0884417268637108,0.0536159400132864,0.999819249807646,-3.39719381401166e-06,-0.000185925613351474,0.0190150425397496,-0.000106207550254065,0.00384388913161974,0.0510371615815865,0.0210664034152912,0.0391055240657266,0.0239520110069512,0.017989986935025,0.0540090447562841,-2.06086834907787e-05,0.0750000000632927,-0.0749999996592358,0.0375406888597384,-0.000139354031745279,0.000184750645361728,0.371913256729974,9.43137010883788e-06,0.0371656578422166,-1.89815313536699e-05,0.0354194622349416,-0.144996698925295,0.237779965072963,-0.0703228631543549,0.22164652788207,0.24241008924691,0.0414831779073445,-0.399490395877175,0.238338112014599,0.0505685784711623,0,0,0,0,0,0.0248287240693029,0,0,0,0,0,0.139189712673116,0,0,0,0,0,0.0278726299043541,0,0.051405644854982,0,0,0,0,0,0,0.036868695148556,0,0.435517151712697,0.112404958816426,0.337237955065221,0,0.344867924955402,0,0.195711323110001,1.01175780226901,1.33059592732981,1.03932721731896,1.30302651227986,0,0.299428702196988,0,0.412758562625558,0.595219483774327,0,0,0.542596345915209,0,0.309094915843166,0.336998971586084,0,0.580125979818553,0,0.491516770798661,0
11,-0.00626330374207437,0.0644263525068576,0.0556171175731119,0.0459454012151042,-0.0533407874469113,0.0527403952480433,-0.0357572897962635,-0.0904635825308975,0.0543791168816951,0.999738544209898,-4.3760989953266e-06,-0.000198154348696474,0.0228683492950755,-0.000107457191062543,0.00461405613760345,0.0510395964931362,0.0113004792962596,0.0386730893397616,0.0313280460211272,0.0189329170304069,0.0576693638858719,0.000267901630953298,0.0750000000302114,-0.0749999999347383,0.0386646039989374,-0.00015362294374767,-0.00179605500984069,0.396405261523901,-9.16275763893968e-05,0.0396005387483821,0.000178689282830536,0.0544518369567099,-0.155540550471754,0.242182730478893,-0.0713800665831893,0.236966051125141,0.250000126514338,0.0487240883484201,-0.39999995535152,0.243501924402609,0.0486441589558873,0,0.0958042013668614,0,0,0,0.032674530343963,0,0,0,0,0,0.151440466618624,0,0,0,0,0,0.0202057208807371,0,0.047030541324643,0,0,0,0,0,0,0.0268480466391132,0,0.459573347810704,0,0.348251833797939,0,0.364563397456248,0,0.211774392051073,1.11927897638258,1.45755216751771,1.14584227535376,1.43098886854653,0,0.316468491984078,0,0.438021382974706,0.629920407066919,0,0,0.572214917034419,0,0.334813597374073,0.357931967606848,0,0.613636595481954,0,0.526670335514183,0
