timestep,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,eta_10,eta_11,eta_12,eta_13,eta_14,eta_15,eta_16,eta_17,eta_18,eta_19,eta_20,eta_21,eta_22,eta_23,eta_24,eta_25,eta_26,eta_27
0,-5.62417264979964e-10,0.0699999998823183,0.0499999999918118,0.0499999665664483,-0.0699999996217779,0.0499999999954973,-0.0500000001750246,-0.0700000003912339,0.049999999991841,1.00000000022463,1.41555616018097e-11,-5.16827208213551e-11,-1.30122700389584e-09,-1.93961989709092e-09,9.01342616286767e-11,0.0509999999392416,1.6778595763472e-10,-1.29206344411392e-12,-3.85170926100159e-11,-6.23627972504038e-11,-3.45939990520651e-10,-1.53695208372017e-11,5.67443813573822e-11,3.26540920947758e-10,-5.33908731227904e-12,-9.21548211723392e-13,2.11879693660243e-12,-5.10714413568442e-11,7.90195960506932e-10,6.41988318037417e-11,-1.68984944808834e-11,-0.0468269402891258,-0.00560574681262478,0.196915293248198,0.0777734915426591,0.099663352143551,0.191840265622513,0.0479068075587788,-0.129335000628393,0.207101053119664,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.039024524990303,0.03,0.0438488206193123,0.060754088448379,0.03,0.03,0.0346850059535168,0.03,0.0414179286061719,0.0563223055703084,0.03,0.0540732277086813,0.03,0.0471453022831802,0.03,0.5,0.5,0.527210576885754,0.5,0.507952663443067,0.5,0.5,0.549209769065514,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.000477721577706558,0.0710398086353059,0.0502788315194427,0.0501528335112213,-0.0688433850937862,0.0499203487376968,-0.0491704695806455,-0.0703851293804968,0.0501137585343746,1.00000000012495,6.03844617308447e-11,3.10729405720054e-11,-8.02895386152309e-10,-2.43000271583371e-10,-5.06110135587985e-11,0.0509999999833064,-0.0434292347235955,0.0750000000055196,0.0253483206699408,0.0138939686919468,0.0749999996820137,-0.00724102353785309,0.0749999999888411,-0.0350117451791328,0.0103416819306775,1.64711316759156e-12,-9.87612708934939e-13,-3.78872172822079e-11,1.4335568703391e-10,-1.72687872636893e-10,-5.37409717870797e-11,-0.0173004027903077,-0.00510895510235489,0.180527738631729,0.0690171867345777,0.0868383014570515,0.195845265425784,-0.0265599830395098,-0.0646829267054188,0.188799523403069,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0486031849276112,0.03,0.0400911829142343,0.0544187705264735,0.03,0.03,0.0342199549361743,0.03,0.0459904460344873,0.058485888919709,0.03,0.044148667086149,0.03,0.0526032556081882,0.03,0.504750976141571,0.57240697865576,0.545601071925845,0.531556882871489,0.5,0.561198691618954,0.5,0.5,0.5,0.557367033632833,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.00145885635133713,0.0722009589890881,0.0507643835884843,0.0506966188778656,-0.0672366138067741,0.0497741288302649,-0.0477124351138926,-0.0717634802208052,0.050234975003493,1.00000000022417,1.16884156907512e-10,1.37638278612304e-10,-5.77119036190234e-10,3.04846055894483e-10,-1.68223445128228e-10,0.0510000000326382,-0.0536610207641442,0.0441954826033905,0.0234015605038862,0.0380672740954992,0.0749999995684964,-0.00736824556504218,0.0711849408881679,-0.0749999998350915,0.00255830302914627,9.45141726239227e-13,3.82719799253178e-12,-5.26881568959739e-11,4.67746356589124e-10,-3.92599222244039e-10,1.39830220417009e-11,-0.0365517024078874,0.0121903111080971,0.174276126523986,-0.118356793004512,0.101451590584375,0.149999987587533,-0.0182388957966305,-0.0214096354873229,0.18655940176942,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0505463136238767,0.03,0.0358249318611488,0.0693731219204883,0.03,0.03,0.03,0.03,0.03,0,0.03,0.0392938719537663,0.03,0.0738962221649125,0.03,0.580970540369335,0.659128324830357,0.621989140443085,0.618109724756607,0.5,0.526876382665426,0.613096276654153,0.5,0.5,0.593956391843722,0.556266217056175,0.577681605724241,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
3,-0.00203881583578138,0.0737814772880072,0.051120540413916,0.0510245923139376,-0.0654393261183992,0.0496162412655867,-0.0461550645082389,-0.0731974561845799,0.0502962208470394,1.00000000014685,-7.11262250768722e-11,6.28339625555944e-11,-5.6119437410232e-11,2.65203556036544e-10,-2.90361706525945e-12,0.0510000000233128,-0.00881915087493786,0.0750000002240071,0.0132311623803318,-0.00133023242509257,0.0749999998268181,-0.00832485067348595,0.0750000000351738,-0.0689978066124534,0.00347464809403102,1.67002403208259e-13,1.12824123933125e-12,-1.97652498945103e-11,2.77813961545545e-10,2.29220928443089e-11,3.03942039534784e-12,-0.041773539368526,-0.107900124328141,0.179566916271043,-0.0841919401432757,0.0956755834109374,0.192459998113653,-0.036296230760752,-0.0378527778789619,0.188082279119526,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0.0524092857017261,0.03,0.03,0.0728196604467997,0.03,0.03,0.03,0.03,0.03,0.0683434205731682,0.03,0.0330752348777039,0.03,0.0852254558721395,0.03,0.627314409870741,0.726842185262629,0.677756585753075,0.676400009380296,0,0.5,0.5,0.5,0.534272940144889,0.655997956759254,0.626184845380233,0.621244669051535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.00163014408016914,0.0753416930483651,0.051399005103452,0.050198758042615,-0.0637076822817161,0.0497277291785884,-0.0445903915179058,-0.0742613204153791,0.050882956094599,1.00000000021505,-2.86180684488631e-11,-7.51440066100937e-11,-9.61193632793461e-10,-3.38572896036378e-10,-1.47698866756785e-11,0.0510000000657339,0.0443676520582295,0.0750000003882637,0.0144894737267867,-0.0739874499097841,0.0749999994975867,0.0169465064768269,0.0750000000096928,-0.0402621448880382,0.0500000000348717,-3.42192266257805e-13,2.45584746746277e-12,-5.0298082300784e-11,5.57233231504894e-10,-9.89510983998795e-11,7.18381811619566e-12,-0.0700655221420795,-0.133887379015196,0.178820998456787,0.101362220477783,0.113855101032478,0.167008985082204,-0.021057679792348,-0.0818460615723034,0.151031800946678,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0.0446317830359449,0.0652032487267029,0.03,0.03,0.0477260074300848,0.03,0,0,0.03,0.0562955234087654,0.03,0,0.03,0.641126585755883,0.805668701961122,0.726794375781813,0.720000911935194,0,0.5,0.5,0.5,0.573518294723449,0.696253257897762,0.658962724491995,0.641828266485354,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0
5,-0.00072027795286685,0.0769498088399611,0.0521787638225339,0.0491432165690544,-0.0616485331207246,0.0505985386765259,-0.0429573712183661,-0.0755589886654349,0.0519270382522246,1.00000000040576,9.76903765202322e-11,-4.20681417389842e-11,-7.3574249449339e-10,1.23024539246106e-10,-1.93468129488475e-10,0.0510000000362253,0.0464142998138025,0.0750000003213695,0.0499999999938554,-0.0354231418150604,0.0749999994623042,0.0499999999859722,0.0750000000366402,-0.0749999999952502,0.0500000000317576,-4.9112974543689e-13,2.14940466743345e-12,-4.44484463246759e-11,3.70497392277106e-10,-2.18250681839469e-10,1.78591344949915e-12,-0.0717951075221819,-0.120195102828136,0.161088679042528,0.0928636991253984,0.111387745861871,0.149999990402598,-0.00345703296933179,-0.0717373502756258,0.1526156466057,0,0,0,0,0.0352255407042233,0,0.0359539062402636,0.03,0,0,0,0,0.03,0,0.03,0,0,0.03,0.03,0,0.03,0,0,0.03,0,0.03,0,0.03,0.675096848623367,0.876546800450463,0.786107478739689,0.765536170334139,0,0.5,0,0,0.631873539306151,0.748746199146295,0.698791801678175,0.68182793677427,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0
6,-0.000323315183320595,0.0763700587968085,0.0532719143072524,0.0481748888425018,-0.0599146558400576,0.0516465829194125,-0.0413858186925039,-0.0774865065736575,0.053022864202734,0.999999944605359,7.06487819221784e-07,-0.000120528101036669,0.000395963756732644,-2.09074331123362e-05,8.74492969140773e-05,0.0510262356487237,-0.0018878081891939,-0.0749999999298283,0.0499999999716787,-0.0326607298365701,0.0361489616708654,0.0466518975818192,0.0750000003180659,-0.0749999994332218,0.0499999998248295,0.00069425608013552,-0.0430736836742361,0.241056309639216,-0.00439914377656022,0.0261291512748049,0.00432010858414567,-0.00440911503903004,-0.0362653778538451,0.176802502863382,0.202827761508238,0.233941355904047,0.201837883149292,0.0631387878578566,-0.212196138799962,0.232209577428924,0,0,0,0,0.03,0,0.0360458497501443,0.0589112820221504,0,0,0,0,0.03,0,0.03,0,0.102135961374522,0.03,0.0300432385374111,0,0.0359817213043571,0,0.113061091713506,0.03,0,0.03,0.148994248889971,0.03,0.628664252783944,0.865638947895806,0.737822375314054,0.756480825365696,0,0.540323461365077,0,0,0.544037968166353,0.849721043953526,0.558563931832815,0.835195080287064,0,0.5,0,0.5,0,0,0,0.5,0,0.520937238282571,0,0,0.5,0,0,0
7,-0.00115690332491875,0.0748013157765797,0.0543278095843645,0.0471495811636682,-0.0590277410005067,0.0526667444910373,-0.0405218864353409,-0.0791978460284984,0.0535146633849378,0.999996267304933,-2.48225715689682e-07,-0.000108048339469947,0.00273882878487499,-0.000233903805321915,0.000770361933803915,0.0510392440301691,-0.0742361385697297,-0.0750000000193685,0.0499999999928046,-0.0635659293173626,0.0487778617000658,0.0499999968389971,0.017175641253937,-0.0749999993236286,0.0037999263233123,-4.9142090483473e-05,0.00224800839788875,0.216097409009337,-0.0175213420772382,0.0392456040881095,0.000569791002863662,-0.0187789516178278,-0.0605750547497124,0.229620564621277,0.187643193160623,0.275597005682452,0.217504270440779,0.0886641439174386,-0.276766456125157,0.249999926962941,0,0,0,0,0.03,0,0.0351759331448055,0.0663833636398208,0,0,0,0,0.03,0,0.03,0.101510329687617,0,0.03,0.0325193705490612,0,0.03,0,0.0966498888818763,0.03,0,0.03,0,0.0384441235956911,0.527000873386078,0.788828595651026,0.537308589842415,0.778520879194688,0,0.522673903625101,0,0,0.710385572313616,0.931884386203044,0.653964181923647,0.988305776593017,0,0.57725842586438,0,0,0.5,0,0,0.5,0,0.576326739574192,0,0,0.5,0,0.5,0
8,-0.00220756769255738,0.0731132634909039,0.0549028323654781,0.0464179975665434,-0.0577660184172603,0.0535184848397895,-0.039230519167436,-0.0811283501925067,0.053464784054712,0.999980977790036,-1.23183026356193e-06,-0.000233569648381938,0.00618130305891927,-0.000479840337253799,0.00169195694156493,0.0510526063606686,-0.0347763336517427,-0.0749999999233696,0.0113657091101563,-0.016781869799852,0.0749668004733691,0.0346221131571245,0.0750000001213908,-0.0749999992929358,-0.00764351143514342,-0.00018765868193035,-0.01355629866573,0.467145664484614,-0.00659195810735254,0.0526111054615027,0.000719813107894504,-0.0267969964972485,-0.102676435669401,0.249999984788623,0.060221909444947,0.178632714880242,0.237330117771159,0.0250682761474439,-0.30638413859299,0.250000009365933,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0.0628245440743712,0,0.03,0.100826163432663,0,0.03,0.0453908344991708,0,0.0512215749665545,0,0.0879250094724482,0.03,0,0.03,0,0.0350967661356501,0.520474361844222,0.760652393567426,0.539001840557643,0.776643402244344,0,0.5,0,0.5,0.861046571499099,1.01577706204776,0.77265122361129,1.10417240993556,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0
9,-0.00298973595837623,0.0730876606057093,0.0551778644979156,0.0464366530389014,-0.0562404541344185,0.0537124957659649,-0.0376659448111805,-0.0829021531953654,0.053350847587913,0.999944543248984,-2.11122655733498e-06,-0.000218327418588769,0.0105382168798135,-0.000694654935511535,0.00277962723068193,0.0510550739576688,-0.0426528246439806,0.0590360726852063,0.0157037045835809,0.00959043490042519,0.0749999992756329,-0.000157179453077454,0.0750000002334633,-0.0749999998236079,-0.00410407928618586,-0.00018548857363977,-0.00239797576228611,0.436675218251985,-0.0115424372540495,0.0550787385131388,7.44218848257641e-06,-0.0120997960816151,-0.196091093772653,0.249999996038115,0.0851480770694153,0.148302009578027,0.249999890932067,-0.0109896019571017,-0.153693905721371,0.20903859518759,0,0,0,0,0.03,0.0754719445320999,0.03,0.03,0,0,0,0,0.0811021679072602,0,0.0338300455103598,0.105034537304327,0,0.03,0.03,0,0.042867882042216,0,0.0771133183337551,0.03,0,0.03,0.0590923446957127,0.03,0.5,0.701429072597033,0.51845605527638,0.703173337400613,0,0,0,0,1.02262539760103,1.12860162134552,1.00288597460703,1.14834104433952,0,0.5,0,0,0.590050245140745,0,0,0.5,0,0.5,0,0,0.538573402813817,0,0,0
